fiscal_year,fiscal_period,cik,filed,rd_expense,z_score,symbol
2014.0,FY,1007587,2015-03-17,39235000,-0.2667701415214993,KVHI
2014.0,FY,1013462,2015-02-26,449488000,-0.15832468333528807,ANSS
2014.0,FY,1013857,2015-02-26,265043000,-0.20708050604750647,PEGA
2014.0,FY,1014473,2015-02-13,199768000,-0.2243351691044614,VRSN
2014.0,FY,1015739,2015-02-13,13079000,-0.27368416629235665,AWRE
2014.0,FY,1017303,2015-03-30,12606000,-0.2738091981671317,TACT
2014.0,FY,1022652,2015-03-10,142982000,-0.23934586686550688,INSG
2014.0,FY,1023731,2015-05-29,61649000,-0.2608452695527733,EGHT
2014.0,FY,1032975,2015-06-05,425409000,-0.1646896780767422,LOGI
2014.0,FY,1036262,2015-03-26,7263000,-0.2752215561098863,INTT
2014.0,FY,1038074,2015-02-06,468736000,-0.15323670547974969,SLAB
2014.0,FY,1039065,2014-08-27,142597000,-0.23944763699613772,OSIS
2014.0,FY,1039280,2014-09-16,408533,-0.2770334522189636,NTWK
2014.0,FY,1039399,2015-03-06,209858000,-0.22166799866792866,FORM
2014.0,FY,1040161,2015-03-04,66717000,-0.2595056045604692,PXLW
2014.0,FY,1040470,2014-08-28,10801000,-0.2742863282600892,AEHR
2014.0,FY,1040896,2015-03-30,3879891,-0.27611584038227166,IDN
2014.0,FY,1041514,2014-08-28,7400000,-0.27518534180366183,LSAK
2014.0,FY,1043604,2015-02-20,5200400000,1.0975219007052164,JNPR
2014.0,FY,1044777,2015-03-13,59606000,-0.26138531209012084,OSPN
2014.0,FY,1045810,2015-03-12,3842841000,0.7386674675388174,NVDA
2014.0,FY,1047127,2015-02-19,195607000,-0.22543507952927933,AMKR
2014.0,FY,1048695,2014-11-26,1124218000,0.020032096510276227,FFIV
2014.0,FY,1049502,2015-02-25,186576000,-0.22782231602207687,MKSI
2014.0,FY,1050446,2015-02-26,289601000,-0.20058889340326747,MSTR
2014.0,FY,1051627,2015-03-13,11036000,-0.27422420882970416,AXTI
2014.0,FY,1056696,2015-02-05,231708000,-0.2158922133321268,MANH
2014.0,FY,1058811,2015-02-27,31097000,-0.26892132417883363,IMMR
2014.0,FY,1066194,2014-09-12,24514000,-0.27066146124362006,EGAN
2014.0,FY,1066923,2015-03-31,20183,-0.2771361078818999,FTFT
2014.0,FY,1074828,2015-01-13,1840023,-0.27665505501299803,KNW
2014.0,FY,1076930,2015-03-09,124012000,-0.24436035875658976,NOVT
2014.0,FY,1078075,2015-05-20,207242000,-0.22235950688021505,NTCT
2014.0,FY,1078271,2014-09-15,163307000,-0.23397319698220378,EXTR
2014.0,FY,1081745,2015-03-31,693540,-0.2769581140381306,INLX
2014.0,FY,1082324,2015-03-02,5341000,-0.2757296137490356,VHC
2014.0,FY,1086222,2015-03-02,293909000,-0.19945012529220868,AKAM
2014.0,FY,1092699,2015-02-20,32530000,-0.2685425278224856,SPSC
2014.0,FY,1101302,2015-02-26,193971000,-0.22586753649995994,ENTG
2014.0,FY,1101680,2015-03-06,51208000,-0.26360522262788116,DZSI
2014.0,FY,1102993,2015-03-12,103777000,-0.2497092382197454,LPSN
2014.0,FY,1107843,2015-03-06,116191000,-0.24642774626740468,QLYS
2014.0,FY,1108524,2015-03-06,1846194000,0.21087778958125444,CRM
2014.0,FY,1111928,2015-03-02,126464000,-0.2437122019765721,IPGP
2014.0,FY,1114925,2014-08-22,13494000,-0.2735744660216766,LTRX
2014.0,FY,1120914,2015-03-03,40629000,-0.2664016543472152,PDFS
2014.0,FY,1121788,2015-02-18,1085817000,0.009881252909355095,GRMN
2014.0,FY,1122904,2015-02-20,237136000,-0.21445738665923286,NTGR
2014.0,FY,1126741,2015-06-11,36499000,-0.2674933702939823,GSIT
2014.0,FY,1131554,2015-02-25,190772000,-0.2267131537672016,SNCR
2014.0,FY,1137789,2014-08-08,3365000000,0.6123559324978612,STX
2014.0,FY,1138639,2015-02-18,375511000,-0.1778796156825015,INFN
2014.0,FY,1158114,2015-03-05,56568000,-0.2621883709390987,AAOI
2014.0,FY,1166388,2015-03-27,416193000,-0.1671258170998429,VRNT
2014.0,FY,1169561,2015-05-08,166633000,-0.23309400878875405,CVLT
2014.0,FY,1173489,2015-03-13,67287000,-0.2593549318995353,CEVA
2014.0,FY,1239819,2015-03-16,4646206,-0.275913274206546,LUNA
2014.0,FY,1262039,2015-03-02,306618000,-0.19609065362938463,FTNT
2014.0,FY,1274494,2015-02-25,410729000,-0.1685701599407958,FSLR
2014.0,FY,1275014,2015-03-11,17731000,-0.2724544659087342,UCTT
2014.0,FY,1280058,2015-02-25,207516000,-0.2222870782677661,BLKB
2014.0,FY,1280263,2015-03-30,149584000,-0.23760070737868932,AMBA
2014.0,FY,1288847,2015-03-10,92495000,-0.25269149955423126,FIVN
2014.0,FY,1313275,2015-03-05,68029000,-0.2591587931023195,BCOV
2014.0,FY,1325702,2015-05-28,256882000,-0.20923776847887848,MX
2014.0,FY,1327567,2014-09-18,373160000,-0.17850107432435366,PANW
2014.0,FY,1327811,2015-03-25,601649000,-0.11810274866796795,WDAY
2014.0,FY,1333822,2014-12-12,8791000,-0.2748176476433826,LEDS
2014.0,FY,1336920,2015-03-25,129000000,-0.2430418408044168,LDOS
2014.0,FY,1341439,2014-06-26,14524000000,3.5621036927822005,ORCL
2014.0,FY,1356093,2015-05-07,492000,-0.2770113887189808,CREX
2014.0,FY,1361113,2015-02-19,64093000,-0.26019922747676877,VRNS
2014.0,FY,1362190,2015-07-10,666844,-0.2769651708054223,AEYE
2014.0,FY,1373715,2015-02-27,266269000,-0.20675642765749763,NOW
2014.0,FY,1375365,2014-09-15,223688000,-0.2180122041052678,SMCI
2014.0,FY,1377789,2014-12-22,110900000,-0.24782635863407415,AVNW
2014.0,FY,1378590,2014-12-29,3751000,-0.27614991117164084,BLIN
2014.0,FY,1384905,2015-02-27,102431000,-0.2500650371699508,RNG
2014.0,FY,1385157,2014-11-12,1743000000,0.18359969384016814,TEL
2014.0,FY,1387467,2014-08-29,82872000,-0.2552352241439988,AOSL
2014.0,FY,1389002,2015-02-20,63480000,-0.2603612666717732,MRIN
2014.0,FY,1391127,2015-02-17,63150000,-0.26044849821231386,EGIO
2014.0,FY,1393883,2015-02-10,64749000,-0.2600258217476939,DHX
2014.0,FY,1398805,2015-03-31,75815,-0.2771214022301927,BEEM
2014.0,FY,1402436,2015-02-26,156928000,-0.23565940909465596,SSNC
2014.0,FY,1404655,2015-03-05,51241000,-0.26359649947382713,HUBS
2014.0,FY,1405495,2015-02-19,207891000,-0.22218795151715162,IDCC
2014.0,FY,1406666,2015-03-04,226358000,-0.21730642164089292,CALX
2014.0,FY,1410384,2015-02-12,47547000,-0.26457296405187986,QTWO
2014.0,FY,1415404,2015-02-20,198477000,-0.22467642946457675,SATS
2014.0,FY,1438231,2015-02-20,60711000,-0.26109321859831025,DMRC
2014.0,FY,1445305,2015-03-11,174907000,-0.23090687616319686,WK
2014.0,FY,1463101,2015-03-04,115511000,-0.2466074961085189,ENPH
2014.0,FY,1463972,2015-03-31,3503957,-0.2762152140245796,VUZI
2014.0,FY,1467373,2014-10-24,1914218000,0.2288591178047137,ACN
2014.0,FY,1477294,2015-02-03,192200000,-0.22633567910086178,ST
2014.0,FY,1487952,2015-03-11,25800000,-0.27032152257351294,VPG
2014.0,FY,1493594,2014-12-09,155025000,-0.23616244431177408,MTSI
2014.0,FY,1493761,2015-03-30,16372000,-0.27281370125296095,HEAR
2014.0,FY,1500435,2015-02-20,261704000,-0.2079631306349775,GPRO
2014.0,FY,1505155,2015-03-31,78318000,-0.2564390194034607,UPLD
2014.0,FY,1511737,2014-08-22,71616000,-0.2582106126904421,UI
2014.0,FY,1517228,2015-02-20,373450000,-0.1784244163038785,COMM
2014.0,FY,1528396,2014-09-17,188225000,-0.22738642265737494,GWRE
2014.0,FY,1534154,2015-03-31,45500,-0.2771294156367124,AUID
2014.0,FY,1565228,2015-03-31,13065000,-0.2736878670243796,VISL
2014.0,FY,1566610,2015-03-31,642191,-0.2769716875301767,VERB
2014.0,FY,1571123,2015-03-31,12000000,-0.2739693869961246,SAIC
2014.0,FY,1575793,2015-03-30,14621537,-0.27327641514432316,WATT
2014.0,FY,1580808,2015-03-11,108764000,-0.24839098460557404,ATEN
2014.0,FY,1587523,2015-02-25,242900000,-0.2129337424177884,KN
2014.0,FY,1590955,2015-02-26,8103000,-0.27499951218850993,PAYC
2014.0,FY,1591698,2014-08-22,18968000,-0.27212747980070734,PCTY
2014.0,FY,1596532,2015-03-12,302651000,-0.19713928248188467,ANET
2014.0,FY,1604778,2015-05-27,633556000,-0.10966851604968741,QRVO
2014.0,Q1,2488,2014-05-01,591000000,0.6324716795333266,AMD
2014.0,Q1,4127,2014-01-29,116500000,-0.09515149126526393,SWKS
2014.0,Q1,6281,2014-02-18,253810000,0.11540685980397625,ADI
2014.0,Q1,6951,2014-02-20,660000000,0.7382798961510352,AMAT
2014.0,Q1,8146,2014-06-04,2484000,-0.26998960178533155,ALOT
2014.0,Q1,21535,2014-05-02,24632000,-0.23602669770346185,COHU
2014.0,Q1,23197,2013-12-09,18548000,-0.2453562221947972,CMTL
2014.0,Q1,26058,2014-04-29,11878000,-0.2555843498011757,CTS
2014.0,Q1,28823,2014-05-05,41100000,-0.21077380333736873,DBD
2014.0,Q1,29002,2014-05-09,23000000,-0.23852929204433287,DIOD
2014.0,Q1,39020,2013-09-16,3158000,-0.26895605485779045,FEIM
2014.0,Q1,47217,2014-03-11,1605000000,2.1873924280892187,HPQ
2014.0,Q1,50863,2014-04-25,5373000000,7.965441126864959,INTC
2014.0,Q1,51143,2014-04-29,3145000000,4.548909146803296,IBM
2014.0,Q1,56978,2014-01-29,35724000,-0.2190176435190615,KLIC
2014.0,Q1,65770,2014-05-08,4795000,-0.2664457932548457,MVIS
2014.0,Q1,68505,2014-05-01,505000000,0.5005947718648781,MSI
2014.0,Q1,70866,2014-05-02,118000000,-0.09285131264313982,VYX
2014.0,Q1,78749,2014-08-07,12097000,-0.2552485237223456,AGYS
2014.0,Q1,84748,2014-04-30,10132000,-0.2582617577173282,ROG
2014.0,Q1,87050,2014-05-12,3418000,-0.2685573572299556,NEON
2014.0,Q1,88941,2014-06-06,62372000,-0.17815420357081949,SMTC
2014.0,Q1,97476,2014-05-02,785000000,0.9299614479947101,TXN
2014.0,Q1,101984,2014-05-06,8518000,-0.26073674991473367,UEIC
2014.0,Q1,103145,2014-05-05,40505000,-0.2116862075241446,VECO
2014.0,Q1,317788,2014-08-14,3547000,-0.26835954186845296,APPS
2014.0,Q1,319201,2013-10-25,252015000,0.11265431271950108,KLAC
2014.0,Q1,320193,2014-01-28,2340000000,3.314479952930028,AAPL
2014.0,Q1,320340,2014-05-15,1406000,-0.2716426634884314,CCRD
2014.0,Q1,350868,2014-10-16,1863000,-0.2709418757348909,ITI
2014.0,Q1,351789,2014-05-13,283000,-0.273364730550195,ELSE
2014.0,Q1,351998,2014-05-15,2354000,-0.27018895059924897,DAIO
2014.0,Q1,356037,2014-02-14,1079000,-0.2721441024280545,CSPI
2014.0,Q1,704532,2014-05-06,15761000,-0.24962995407470379,ONTO
2014.0,Q1,707549,2013-11-07,333878000,0.23818732774813126,LRCX
2014.0,Q1,708821,2014-05-07,8004000,-0.2615249444559149,PAR
2014.0,Q1,709283,2014-08-08,31248000,-0.2258813765274798,QMCO
2014.0,Q1,713425,2013-09-09,4206000,-0.2673489967271331,AMSWA
2014.0,Q1,719733,2013-11-06,2595000,-0.26981938856729437,KTCC
2014.0,Q1,720500,2014-02-06,5353000,-0.26559012680741556,ASYS
2014.0,Q1,722572,2013-11-14,1388165,-0.2716700126122485,FKWL
2014.0,Q1,723125,2014-01-07,544000000,0.5603994160401048,MU
2014.0,Q1,724004,2014-08-06,1336000,-0.2717500051574639,MLAB
2014.0,Q1,724910,2014-07-23,1766339,-0.27109010077875306,NVEC
2014.0,Q1,732026,2013-11-14,125000,-0.2736070160317254,TRT
2014.0,Q1,736012,2014-05-13,878000,-0.2724523263634191,INTZ
2014.0,Q1,746838,2014-05-01,31400000,-0.2256482917604379,UIS
2014.0,Q1,751978,2014-04-30,20106000,-0.24296710333261765,VICR
2014.0,Q1,763532,2013-10-31,3606000,-0.26826906817598273,LYTS
2014.0,Q1,769397,2014-06-03,321300000,0.2188995632754133,ADSK
2014.0,Q1,771266,2014-05-08,9333840,-0.25948569809668454,KOPN
2014.0,Q1,772406,2014-07-23,68307000,-0.1690531634892818,CRUS
2014.0,Q1,779152,2013-11-08,30318000,-0.22730748727319675,JKHY
2014.0,Q1,780571,2014-05-01,88617000,-0.13790874494572147,ITRI
2014.0,Q1,789019,2013-10-24,5227000000,7.7415570743115465,MSFT
2014.0,Q1,793524,2014-05-05,1086249,-0.27213298643149997,REFR
2014.0,Q1,797721,2014-08-13,23869000,-0.23719672189591565,VSAT
2014.0,Q1,804328,2014-01-29,2434000000,3.458624479916472,QCOM
2014.0,Q1,806172,2014-07-15,461442,-0.2730910982344023,SOTK
2014.0,Q1,807863,2014-02-07,2928327,-0.2693082474742432,MITK
2014.0,Q1,808326,2014-02-05,9793000,-0.2587815980859282,EMKR
2014.0,Q1,810136,2014-03-06,9813000,-0.2587509290376332,PLAB
2014.0,Q1,814547,2014-01-28,32644000,-0.22374067695648966,FICO
2014.0,Q1,816761,2014-05-12,106000000,-0.11125274162013263,TDC
2014.0,Q1,817720,2013-11-01,73244000,-0.161482508917664,SYNA
2014.0,Q1,820318,2013-11-08,13332000,-0.2533547099901301,COHR
2014.0,Q1,827054,2014-08-11,157455000,-0.032348947619202234,MCHP
2014.0,Q1,833640,2014-05-05,25762000,-0.23429389647479504,POWI
2014.0,Q1,840715,2014-05-14,4107000,-0.2675008085161933,CLRO
2014.0,Q1,849399,2014-08-08,570000000,0.6002691788235892,GEN
2014.0,Q1,851205,2014-04-30,23823000,-0.2372672607069941,CGNX
2014.0,Q1,851310,2014-05-05,49139000,-0.1984463793751983,HLIT
2014.0,Q1,855658,2014-05-07,39353000,-0.21345274470593592,LSCC
2014.0,Q1,857005,2014-02-04,110502000,-0.10434913884893084,PTC
2014.0,Q1,864749,2014-05-12,149984000,-0.043805370609795,TRMB
2014.0,Q1,867773,2014-04-30,29916000,-0.22792393514392603,SPWR
2014.0,Q1,877212,2014-05-06,44715000,-0.20523037285804965,ZBRA
2014.0,Q1,882508,2014-05-07,4649000,-0.2666696773073991,QUIK
2014.0,Q1,883241,2014-02-26,325053000,0.22465461018796778,SNPS
2014.0,Q1,884144,2014-05-14,1421000,-0.2716196617022102,ASUR
2014.0,Q1,889331,2014-05-02,13289000,-0.2534206484439643,LFUS
2014.0,Q1,890394,2014-05-12,12374000,-0.25482375740346,PRSO
2014.0,Q1,895419,2013-10-23,79290000,-0.15221125561808913,WOLF
2014.0,Q1,896878,2013-11-22,344000000,0.2537089330902247,INTU
2014.0,Q1,897723,2014-01-31,13300000,-0.25340378046740203,SANM
2014.0,Q1,898293,2014-01-09,16317000,-0.24877735453210312,JBL
2014.0,Q1,909494,2014-05-14,2223728,-0.27038871651222324,TCX
2014.0,Q1,910638,2014-04-29,23739000,-0.23739607070983307,DDD
2014.0,Q1,912093,2013-11-06,131200000,-0.07260974076844774,VIAV
2014.0,Q1,913142,2014-05-06,40996000,-0.21093328238850267,BDC
2014.0,Q1,915779,2013-08-30,12010000,-0.25538193408242876,DAKT
2014.0,Q1,917273,2014-04-25,59746000,-0.1821810496119514,RMBS
2014.0,Q1,917491,2014-04-29,10555000,-0.25761310734588916,FARO
2014.0,Q1,923601,2014-08-14,51990,-0.27371897339252627,MICS
2014.0,Q1,924383,2014-02-04,815462,-0.2725482254105327,GNSS
2014.0,Q1,926282,2014-05-07,65064000,-0.1740261496703141,ADTN
2014.0,Q1,936395,2014-03-07,190622000,0.018511068620791132,CIEN
2014.0,Q1,944075,2014-05-15,1078436,-0.2721449672952164,SCKT
2014.0,Q1,948708,2014-05-09,10185000,-0.25818048473934646,SMSI
2014.0,Q1,1002047,2013-08-29,449500000,0.4154881628462864,NTAP
2014.0,Q1,1005284,2014-05-08,19094000,-0.24451895717634403,OLED
2014.0,Q1,1005757,2014-05-08,53552000,-0.1916792538689092,CSGS
2014.0,Q1,1007587,2014-05-09,6617000,-0.2636518429551723,KVHI
2014.0,Q1,1013462,2014-05-01,76127000,-0.15706156560594148,ANSS
2014.0,Q1,1013857,2014-05-06,44185000,-0.20604310263786682,PEGA
2014.0,Q1,1014473,2014-04-24,36615000,-0.2176513374175198,VRSN
2014.0,Q1,1015739,2014-04-28,2252000,-0.27034536274555343,AWRE
2014.0,Q1,1017303,2014-05-09,2242000,-0.2703606972697009,TACT
2014.0,Q1,1022652,2014-05-08,22429000,-0.2394048933731548,INSG
2014.0,Q1,1023731,2014-07-25,5742000,-0.264993613818078,EGHT
2014.0,Q1,1032975,2014-11-14,67843000,-0.1697646854097255,LOGI
2014.0,Q1,1036262,2014-05-14,1919000,-0.270856002399665,INTT
2014.0,Q1,1038074,2014-04-29,80067000,-0.15101976309182882,SLAB
2014.0,Q1,1039065,2013-10-25,22336000,-0.23954750444772646,OSIS
2014.0,Q1,1039399,2014-05-06,20676000,-0.24209303545621047,FORM
2014.0,Q1,1040161,2014-05-09,12269000,-0.2549847699070087,PXLW
2014.0,Q1,1040470,2013-10-15,1611000,-0.27132830574340777,AEHR
2014.0,Q1,1040896,2014-05-13,938257,-0.27235992512126356,IDN
2014.0,Q1,1043604,2014-05-08,526200000,0.5331039630575655,JNPR
2014.0,Q1,1044777,2014-05-06,9988000,-0.25848257486505205,OSPN
2014.0,Q1,1045810,2014-05-21,661424000,0.7404635323896384,NVDA
2014.0,Q1,1047127,2014-05-02,35351000,-0.21958962126976303,AMKR
2014.0,Q1,1048695,2014-02-06,112674000,-0.10101848020409514,FFIV
2014.0,Q1,1049502,2014-05-07,30866000,-0.2264671553499141,MKSI
2014.0,Q1,1050446,2014-04-29,53879000,-0.19117781492928612,MSTR
2014.0,Q1,1051627,2014-05-09,1597000,-0.2713497740772143,AXTI
2014.0,Q1,1056696,2014-04-29,23279000,-0.23810145882061778,MANH
2014.0,Q1,1058811,2014-05-06,5631000,-0.2651638270361152,IMMR
2014.0,Q1,1066194,2013-11-08,4056000,-0.2675790145893455,EGAN
2014.0,Q1,1066923,2014-05-15,98622,-0.2736474654395217,FTFT
2014.0,Q1,1074828,2014-02-13,479366,-0.2730636126333203,KNW
2014.0,Q1,1076930,2014-05-06,11673000,-0.2558987075461993,NOVT
2014.0,Q1,1078075,2014-07-29,34732000,-0.2205388283144929,NTCT
2014.0,Q1,1078271,2013-11-04,20503000,-0.24235832272396213,EXTR
2014.0,Q1,1082324,2014-05-09,651000,-0.27280042006156724,VHC
2014.0,Q1,1086222,2014-05-12,50139000,-0.1969129269604489,AKAM
2014.0,Q1,1092699,2014-05-01,5477000,-0.2653999787079866,SPSC
2014.0,Q1,1101302,2014-05-05,27863000,-0.23107211295140653,ENTG
2014.0,Q1,1101680,2014-05-14,7803000,-0.2618331683912795,DZSI
2014.0,Q1,1102993,2014-05-09,16972000,-0.24777294320044227,LPSN
2014.0,Q1,1107843,2014-05-08,11701000,-0.25585577087858635,QLYS
2014.0,Q1,1108524,2014-05-30,320297000,0.21736151050341965,CRM
2014.0,Q1,1111928,2014-05-06,21582000,-0.24070372756844752,IPGP
2014.0,Q1,1113232,2014-05-08,18463000,-0.2454865656500509,ACLS
2014.0,Q1,1114925,2013-10-31,3290000,-0.26875363913904354,LTRX
2014.0,Q1,1120914,2014-05-07,6960000,-0.26312586877691324,PDFS
2014.0,Q1,1121788,2014-04-30,183853000,0.00813112922535244,GRMN
2014.0,Q1,1122904,2014-05-06,37519000,-0.21626509643458633,NTGR
2014.0,Q1,1126741,2014-08-01,6070000,-0.26449064142604023,GSIT
2014.0,Q1,1131554,2014-05-02,32259000,-0.22433105613616816,SNCR
2014.0,Q1,1137789,2013-10-29,562000000,0.588001559505594,STX
2014.0,Q1,1138639,2014-04-30,59072000,-0.18321459653949249,INFN
2014.0,Q1,1158114,2014-05-12,5550000,-0.2652880366817099,AAOI
2014.0,Q1,1166388,2014-06-05,71351000,-0.1643853343387846,VRNT
2014.0,Q1,1169561,2014-07-31,27891000,-0.23102917628379355,CVLT
2014.0,Q1,1173489,2014-05-12,11035000,-0.25687705018680945,CEVA
2014.0,Q1,1239819,2014-05-13,1462106,-0.2715566276072495,LUNA
2014.0,Q1,1262039,2014-05-07,52389000,-0.19346265902726273,FTNT
2014.0,Q1,1274494,2014-05-07,68704000,-0.16844438288062627,FSLR
2014.0,Q1,1275014,2014-05-05,3024000,-0.2691615374813669,UCTT
2014.0,Q1,1280058,2014-05-07,32923000,-0.22331284373277457,BLKB
2014.0,Q1,1288847,2014-05-14,9379000,-0.25941644738563446,FIVN
2014.0,Q1,1313275,2014-05-08,11630000,-0.25596464600003355,BCOV
2014.0,Q1,1325702,2015-02-12,44152000,-0.20609370656755355,MX
2014.0,Q1,1327567,2013-12-05,33205000,-0.22288041015181523,PANW
2014.0,Q1,1327811,2014-06-06,101453000,-0.11822534974999815,WDAY
2014.0,Q1,1333822,2014-01-14,2349000,-0.27019661786132276,LEDS
2014.0,Q1,1341439,2013-09-20,2438000000,3.4647582895754696,ORCL
2014.0,Q1,1350102,2014-05-07,137517139,-0.06292270871459013,ASTI
2014.0,Q1,1356093,2014-05-15,542000,-0.27296756637477493,CREX
2014.0,Q1,1361113,2014-05-08,10958000,-0.25699512602274516,VRNS
2014.0,Q1,1362190,2014-05-14,130624,-0.27359839189534485,AEYE
2014.0,Q1,1373715,2014-05-07,47149000,-0.2014979496805496,NOW
2014.0,Q1,1375365,2013-11-07,38457000,-0.2148267180695514,SMCI
2014.0,Q1,1377789,2013-11-06,19000000,-0.24466310170333047,AVNW
2014.0,Q1,1378590,2014-02-14,655000,-0.2727942862519082,BLIN
2014.0,Q1,1384905,2014-05-02,17177000,-0.24745858545541863,RNG
2014.0,Q1,1387467,2013-11-06,13780000,-0.2526677233083223,AOSL
2014.0,Q1,1389002,2014-05-08,11162000,-0.2566823017301363,MRIN
2014.0,Q1,1391127,2014-05-07,10109000,-0.2582970271228674,EGIO
2014.0,Q1,1393883,2014-04-30,11836000,-0.2556487548025952,DHX
2014.0,Q1,1402436,2014-05-07,27389000,-0.23179896939599776,SSNC
2014.0,Q1,1405495,2014-05-01,31581000,-0.22537073687336825,IDCC
2014.0,Q1,1406666,2014-05-01,39801000,-0.2127657580241282,CALX
2014.0,Q1,1410384,2014-05-14,4602000,-0.26674174957089236,QTWO
2014.0,Q1,1415404,2014-05-09,32076000,-0.22461167792806733,SATS
2014.0,Q1,1438231,2014-04-25,6271000,-0.2641824174906756,DMRC
2014.0,Q1,1463101,2014-05-07,18112000,-0.24602480744762795,ENPH
2014.0,Q1,1463972,2014-05-15,715117,-0.2727020996930907,VUZI
2014.0,Q1,1477294,2014-04-29,31280000,-0.22583230605020785,ST
2014.0,Q1,1493594,2014-02-12,21268000,-0.24118523162667882,MTSI
2014.0,Q1,1493761,2014-02-10,3815949,-0.2679471213749585,HEAR
2014.0,Q1,1511737,2013-11-08,11028000,-0.2568877843537127,UI
2014.0,Q1,1517228,2014-04-30,61820000,-0.17900066930376116,COMM
2014.0,Q1,1528396,2013-12-04,33514000,-0.22240657335565767,GWRE
2014.0,Q1,1565228,2014-05-15,4100000,-0.2675115426830965,VISL
2014.0,Q1,1575793,2014-05-14,4026628,-0.26762405515367155,WATT
2014.0,Q1,1580808,2014-05-13,18977000,-0.24469837110886972,ATEN
2014.0,Q1,1587523,2014-05-12,40136000,-0.21225205146518714,KN
2014.0,Q2,2488,2014-07-31,1761000000,0.6341966582412664,AMD
2014.0,Q2,4127,2014-05-02,352300000,-0.09013743213600477,SWKS
2014.0,Q2,6281,2014-05-20,782546000,0.13108912074854082,ADI
2014.0,Q2,6951,2014-05-22,2058000000,0.7869099576251305,AMAT
2014.0,Q2,8146,2014-09-09,7990000,-0.2671768803207128,ALOT
2014.0,Q2,21535,2014-08-07,66177000,-0.2372579282963057,COHU
2014.0,Q2,23197,2014-03-06,53636000,-0.2437063373453732,CMTL
2014.0,Q2,26058,2014-07-29,34084000,-0.25375970579504764,CTS
2014.0,Q2,28823,2014-08-06,131208000,-0.203819885965558,DBD
2014.0,Q2,29002,2014-08-08,72852000,-0.23382573545661786,DIOD
2014.0,Q2,39020,2013-12-16,8530000,-0.2668992197763785,FEIM
2014.0,Q2,47217,2014-06-09,4981000000,2.289876200382824,HPQ
2014.0,Q2,50863,2014-07-25,16123000000,8.018938765147185,INTC
2014.0,Q2,51143,2014-07-29,9156000000,4.436603557041521,IBM
2014.0,Q2,56978,2014-04-30,98790000,-0.2204887739770937,KLIC
2014.0,Q2,65770,2014-08-06,13945000,-0.26411490154013734,MVIS
2014.0,Q2,68505,2014-08-05,1103000000,0.2958621431079914,MSI
2014.0,Q2,70866,2014-08-01,356000000,-0.08823494322112162,VYX
2014.0,Q2,78749,2014-11-06,37907000,-0.2517939719783995,AGYS
2014.0,Q2,84748,2014-07-30,35472000,-0.25304601535886984,ROG
2014.0,Q2,87050,2014-08-06,9784000,-0.2662544302900911,NEON
2014.0,Q2,88941,2014-09-05,184968000,-0.17617723621849893,SMTC
2014.0,Q2,97476,2014-07-31,2261000000,0.8912897548470984,TXN
2014.0,Q2,101984,2014-08-08,24836000,-0.25851489970986913,UEIC
2014.0,Q2,103145,2014-07-31,124267000,-0.20738885233264015,VECO
2014.0,Q2,317788,2014-11-14,12671000,-0.264769974750289,APPS
2014.0,Q2,319201,2014-01-24,764405000,0.12176126901748802,KLAC
2014.0,Q2,320193,2014-04-24,7422000000,3.5450046980124963,AAPL
2014.0,Q2,320340,2014-08-14,4411000,-0.26901715270621734,CCRD
2014.0,Q2,350868,2014-11-12,6335000,-0.2680278584704781,ITI
2014.0,Q2,351789,2014-08-13,939000,-0.27080240716904824,ELSE
2014.0,Q2,351998,2014-08-13,6934000,-0.26771986094074435,DAIO
2014.0,Q2,356037,2014-05-15,3423000,-0.26952516866511045,CSPI
2014.0,Q2,704532,2014-08-01,51149000,-0.24498511840789058,ONTO
2014.0,Q2,707549,2014-02-06,1014734000,0.2504769845779707,LRCX
2014.0,Q2,708821,2014-08-08,22938000,-0.2594908251045849,PAR
2014.0,Q2,709283,2014-11-07,94280000,-0.22280775370847833,QMCO
2014.0,Q2,713425,2013-12-06,12820000,-0.26469336100750046,AMSWA
2014.0,Q2,719733,2014-02-05,7888000,-0.2672293273124204,KTCC
2014.0,Q2,720500,2014-05-07,14709000,-0.26372206328852366,ASYS
2014.0,Q2,722572,2014-02-14,4426165,-0.26900935507259727,FKWL
2014.0,Q2,723125,2014-04-07,1660000000,0.5822638527268883,MU
2014.0,Q2,724004,2014-11-06,4148000,-0.269152383675032,MLAB
2014.0,Q2,724910,2014-10-22,5093823,-0.26866605454721,NVEC
2014.0,Q2,732026,2014-02-14,367000,-0.27109652167156534,TRT
2014.0,Q2,736012,2014-08-13,2674000,-0.269910294123826,INTZ
2014.0,Q2,746838,2014-08-01,98600000,-0.22058646935380394,UIS
2014.0,Q2,751978,2014-07-25,61368000,-0.2397306496994606,VICR
2014.0,Q2,763532,2014-01-31,10904000,-0.26567854175369404,LYTS
2014.0,Q2,769397,2014-09-02,977700000,0.23143461309856989,ADSK
2014.0,Q2,771266,2014-08-07,26923810,-0.2574413766338199,KOPN
2014.0,Q2,772406,2014-10-30,216865000,-0.1597762392136265,CRUS
2014.0,Q2,779152,2014-02-06,93984000,-0.22295995282166897,JKHY
2014.0,Q2,780571,2014-08-06,263577000,-0.13575757375632325,ITRI
2014.0,Q2,789019,2014-01-23,15779000000,7.842058714682373,MSFT
